Verse,First Letter,Last Letter,Swara After Last,Chapter,Verse Number,Cumulative Number
सान्द्रानन्दावबोधात्मकमनुपमितं कालदेशावधिभ्यांनिर्मुक्तं नित्यमुक्तं निगमशतसहस्रेण निर्भास्यमानम् ।अस्पष्टं दृष्टमात्रे पुनरुरुपुरुषार्थात्मकं ब्रह्म तत्वंतत्तावद्भाति साक्षाद् गुरुपवनपुरे हन्त भाग्यं जनानाम् ॥ १ ॥,स,न,आ,1,1,1
एवंदुर्लभ्यवस्तुन्यपि सुलभतया हस्तलब्धे यदन्यत्तन्वा वाचा धिया वा भजति बत जन: क्षुद्रतैव स्फुटेयम् ।एते तावद्वयं तु स्थिरतरमनसा विश्वपीड़ापहत्यैनिश्शेषात्मानमेनं गुरुपवनपुराधीशमेवाश्रयाम: ॥ २ ॥,ए,म,अ,1,2,2
सत्त्वं यत्तत् पराभ्यामपरिकलनतो निर्मलं तेन तावत्भूतैर्भूतेन्द्रियैस्ते वपुरिति बहुश: श्रूयते व्यासवाक्यम्।तत् स्वच्छ्त्वाद्यदाच्छादितपरसुखचिद्गर्भनिर्भासरूपंतस्मिन् धन्या रमन्ते श्रुतिमतिमधुरे सुग्रहे विग्रहे ते ॥ ३ ॥,स,त,ए,1,3,3
निष्कम्पे नित्यपूर्णे निरवधिपरमानन्दपीयूषरूपेनिर्लीनानेकमुक्तावलिसुभगतमे निर्मलब्रह्मसिन्धौ ।कल्लोलोल्लासतुल्यं खलु विमलतरं सत्त्वमाहुस्तदात्माकस्मान्नो निष्कलस्त्वं सकल इति वचस्त्वत्कलास्वेव भूमन् ॥ ४ ॥,न,म,अ,1,4,4
निर्व्यापारोऽपि निष्कारणमज भजसे यत्क्रियामीक्षणाख्यांतेनैवोदेति लीना प्रकृतिरसतिकल्पाऽपि कल्पादिकाले।तस्या: संशुद्धमंशं कमपि तमतिरोधायकं सत्त्वरूपंस त्वं धृत्वा दधासि स्वमहिमविभवाकुण्ठ वैकुण्ठ रूपं॥५॥,न,प,अ,1,5,5
तत्ते प्रत्यग्रधाराधरललितकलायावलीकेलिकारंलावण्यस्यैकसारं सुकृतिजनदृशां पूर्णपुण्यावतारम्।लक्ष्मीनिश्शङ्कलीलानिलयनममृतस्यन्दसन्दोहमन्त:सिञ्चत् सञ्चिन्तकानां वपुरनुकलये मारुतागारनाथ ॥६॥,त,थ,अ,1,6,6
कष्टा ते सृष्टिचेष्टा बहुतरभवखेदावहा जीवभाजा-मित्येवं पूर्वमालोचितमजित मया नैवमद्याभिजाने।नोचेज्जीवा: कथं वा मधुरतरमिदं त्वद्वपुश्चिद्रसार्द्रंनेत्रै: श्रोत्रैश्च पीत्वा परमरससुधाम्भोधिपूरे रमेरन्॥७॥,क,र,अ,1,7,7
नम्राणां सन्निधत्ते सततमपि पुरस्तैरनभ्यर्थितान -प्यर्थान् कामानजस्रं वितरति परमानन्दसान्द्रां गतिं च।इत्थं निश्शेषलभ्यो निरवधिकफल: पारिजातो हरे त्वंक्षुद्रं तं शक्रवाटीद्रुममभिलषति व्यर्थमर्थिव्रजोऽयम्॥८॥,न,य,अ,1,8,8
कारुण्यात्काममन्यं ददति खलु परे स्वात्मदस्त्वं विशेषा-दैश्वर्यादीशतेऽन्ये जगति परजने स्वात्मनोऽपीश्वरस्त्वम्।त्वय्युच्चैरारमन्ति प्रतिपदमधुरे चेतना: स्फीतभाग्या-स्त्वं चात्माराम एवेत्यतुलगुणगणाधार शौरे नमस्ते॥९॥,क,त,ए,1,9,9
ऐश्वर्यं शङ्करादीश्वरविनियमनं विश्वतेजोहराणांतेजस्संहारि वीर्यं विमलमपि यशो निस्पृहैश्चोपगीतम्।अङ्गासङ्गा सदा श्रीरखिलविदसि न क्वापि ते सङ्गवार्तातद्वातागारवासिन् मुरहर भगवच्छब्दमुख्याश्रयोऽसि॥१०॥,ऐ,स,इ,1,10,10
